DB Column Name,Qualtrics Column Name (Long Form),Qualtrics Unique ID
StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}"
Status,Response Type,"{""ImportId"":""status""}"
IPAddress,IP Address,"{""ImportId"":""ipAddress""}"
Progress,Progress,"{""ImportId"":""progress""}"
Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
Finished,Finished,"{""ImportId"":""finished""}"
RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}"
ResponseId,Response ID,"{""ImportId"":""_recordId""}"
RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}"
RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}"
RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}"
ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}"
LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}"
LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}"
DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
UserLanguage,User Language,"{""ImportId"":""userLanguage""}"
Q1,SurveyIntro,"{""ImportId"":""QID1216588815""}"
Q2,"Results from the LASER are primarily used to improve educational practices and inform policy, but may be used in peer-reviewed publications or other future research studies. 
 

Your responses are confidential and will be combined, in aggregate, with those received from other participants, and will be used only to identify broad statistical trends. 

 

None of your individual information will be shared or reported. 

 

If you do not give your consent, we will NOT use your response for future research studies; however, you are still required to complete the LASER for your class. 

 

Do you consent for your responses to be included in future studies?","{""ImportId"":""QID1216588816""}"
QID314,MicrophoneCompatabilityCheck,"{""ImportId"":""QID314""}"
Q3,ClassRegistration,"{""ImportId"":""QID1216588817""}"
Q4_1,LangCourseInfo - Language,"{""ImportId"":""QID1216588818_4""}"
Q4_2,LangCourseInfo - Course,"{""ImportId"":""QID1216588818_5""}"
Q4_3,LangCourseInfo - Section,"{""ImportId"":""QID1216588818_6""}"
